# Merge of lines_argon.dat, lines_neon.dat and lines_xenon.dat
#------------------------------------------------------------------------------
22045.5774  1     217 # ArI from NIST ThArLampAtlas
22083.2076  1     888 # ArI from NIST ThArLampAtlas
22118.6524  0      70 # ArI from NIST ThArLampAtlas
22177.292   0      78 # NeI from NIST (vacuum)
22253.432   1    1300 # NeI from NIST (vacuum)
22275.91    0      60 # XeI from NIST (vacuum)
22392.49    0      40 # XeI from NIST (vacuum)
22412.93    0      75 # XeI from NIST (vacuum)
22434.265   1    1300 # NeI from NIST (vacuum)
22472.920   0     540 # NeI from NIST (vacuum)
22536.528   1    8500 # NeI from NIST (vacuum)
#22539.7370  0       8 # ArI from NIST ThArLampAtlas (faint)
22624.44    0      90 # XeI from NIST (vacuum)
22667.971   0    1300 # NeI from NIST (vacuum)
22693.96    0       0 # NeI 370	
22884.10    0       0 # XeI vacuum
#22971.03    0      40 # XeI from NIST (vacuum) (faint)
#23079.76    0      45 # XeI from NIST (vacuum) (faint)
23106.784   1    2500 # NeI from NIST (vacuum)
23139.5178  1     796 # ArI from NIST ThArLampAtlas
23199.67    1      10 # XeI from NIST (vacuum)
#23259.11    0      35 # XeI from NIST (vacuum) (faint)
23266.619   1    3800 # NeI from NIST (vacuum)
23285.90    0     110 # XeI from NIST (vacuum)
23379.343   1    5000 # NeI from NIST (vacuum)
23571.764   1    3400 # NeI from NIST (vacuum)
23642.934   1   17000 # NeI from NIST (vacuum)
23708.13    0       0 # NeI 2520	
23715.599   1    5900 # NeI from NIST (vacuum)
23803.000   0      60 # XeI from NIST (vacuum)
23851.5370  1    1349 # ArI from NIST ThArLampAtlas
23918.54    0       0 # NeI 525	
23957.93    1       0 # NeI 37000	
#23962.964   0    4600 # NeI from NIST (vacuum) (faint)
23973.0588  1     891 # ArI from NIST ThArLampAtlas
#23978.37    0       0 # NeI 730 (faint)
23984.701   1    6000 # NeI from NIST (vacuum)
24105.15    0       0 # NeI 1220	
#24156.49    0       0 # NeI 400 (faint)
24168.03    0       0 # NeI 2250	
24225.54    0       0 # NeI 350	
24256.22    0       0 # NeI 6000	
#24316.42    0       0 # NeI 350	
24371.66    0       0 # NeI 10500	
24378.26    0       0 # NeI 4890	
24390.01    0       0 # NeI 370	
24454.53    0       0 # NeI 2900	
#24459.78    0       0 # NeI 630 (faint)
24466.07    0       0 # NeI 5620	
#24471.61    0       0 # NeI 630 (faint)
#24532.50    0       0 # NeI 370 (faint)
#24783.25    0       0 # NeI 2360 (faint)
24832.2     0      20 # XeI from NIST (vacuum)
24910.52    0       0 # NeI 880	
24935.70    0       0 # NeI 2520	
25006.63    0       0 # NeI 200	
25168.57    0       0 # NeI 2200	
25234.82    0       0 # NeI 600	
25284.13    0       0 # NeI 430	
25400.12    0       0 # NeI 750	
25531.30    0       0 # NeI 8650	
25794.01    0       0 # NeI 330
